,星期一,星期二,星期三,星期四,星期五
08:50-09:00,早會,早會,早會,早會,早會
09:00-09:30,早操,早操,早操,早操,早操
09:30-09:40,班務,班務,班務,班務,班務
09:40-10:15,共同備課(數學),(空堂),數學(E2),資通(C1),(空堂)
10:15-10:50,共同備課(數學),(空堂),數學(E2),資通(C1),(空堂)
10:50-11:10,(空堂),(空堂),小息,小息,(空堂)
11:10-11:45,[單週]資通(C2),數學(C2),資通(A),數學(E2),數學(C2)
11:45-12:20,[雙週]資通(C1),數學(C2),資通(A),D1會議,[雙週]數學(小五)
12:20-12:55,數學(C2),(空堂),[單週]資通(A),D1會議,數學(小五)
12:55-13:45學生午膳,(空堂),(空堂),(空堂),(空堂),午膳當值
13:45-14:15,(空堂),(空堂),[上學期]午間活動當值,(空堂),午間活動當值
14:15-14:50,數學(D小五),數學(D小五),數學(D小五),(空堂),(空堂)
14:50-15:25,班主任課,資通(C2),數學(C2),數學(E2),(空堂)
15:25-16:00,班主任課,資通(C2),[雙週]數學(E2),(空堂),(空堂)
放學接車,(空堂),(空堂),(空堂),(空堂),(空堂)
